Nr,x,y,H,Kodi,Përshkrimi,Burimi
220086,7512362.35,4694374.621,620.809,11,Monoment,PM
88281,7510879.252,4693790.413,622.762,2,Kunjë - shtyllë metalik,PM
88280,7510871.149,4693811.906,621.861,2,Kunjë - shtyllë metalik,PM
85572,7510874.496,4693838.33,621.891,2,Kunjë - shtyllë metalik,PM
88294,7510917.395,4693845.199,623.663,2,Kunjë - shtyllë metalik,PM
84366,7510966.37,4693854.004,624.878,2,Kunjë - shtyllë metalik,PM
84365,7510967.163,4693846.165,624.127,2,Kunjë - shtyllë metalik,PM
84364,7510970.509,4693797.896,623.936,2,Kunjë - shtyllë metalik,PM
88283,7510921.709,4693774.116,623.51,2,Kunjë - shtyllë metalik,PM
88282,7510900.392,4693777.64,622.595,2,Kunjë - shtyllë metalik,PM
1,7510872.593,4693823.305,624.237,2,Kunjë - shtyllë metalik,PM
2,7510897.787,4693827.413,623.273,2,Kunjë - shtyllë metalik,PM
3,7510918.458,4693830.784,622.465,2,Kunjë - shtyllë metalik,PM
4,7510940.351,4693834.354,622.062,2,Kunjë - shtyllë metalik,PM
5,7510967.673,4693838.81,621.876,2,Kunjë - shtyllë metalik,PM
6,7510948.079,4693786.966,622.943,2,Kunjë - shtyllë metalik,PM
7,7510927.258,4693776.82,623.399,2,Kunjë - shtyllë metalik,PM
8,7510906.057,4693776.704,623.8315,2,Kunjë - shtyllë metalik,PM
9,7510905.208,4693781.912,623.593,2,Kunjë - shtyllë metalik,PM
